time,value,raw_value
2025-06-19 10:04:48.802 UTC,Brake pedal depressed,1
2025-06-19 10:04:48.902 UTC,Brake pedal depressed,1
2025-06-19 10:04:49.002 UTC,Brake pedal depressed,1
2025-06-19 10:04:49.102 UTC,Brake pedal depressed,1
2025-06-19 10:04:49.202 UTC,Brake pedal depressed,1
2025-06-19 10:04:49.302 UTC,Brake pedal released,0
2025-06-19 10:04:49.402 UTC,Brake pedal released,0
2025-06-19 10:04:49.502 UTC,Brake pedal released,0
2025-06-19 10:04:49.602 UTC,Brake pedal released,0
2025-06-19 10:04:49.702 UTC,Brake pedal released,0
2025-06-19 10:04:49.802 UTC,Brake pedal released,0
2025-06-19 10:04:49.902 UTC,Brake pedal released,0
2025-06-19 10:04:50.002 UTC,Brake pedal released,0
2025-06-19 10:04:50.102 UTC,Brake pedal released,0
2025-06-19 10:04:50.202 UTC,Brake pedal released,0
2025-06-19 10:04:50.303 UTC,Brake pedal released,0
2025-06-19 10:04:50.402 UTC,Brake pedal released,0
2025-06-19 10:04:50.502 UTC,Brake pedal released,0
2025-06-19 10:04:50.602 UTC,Brake pedal released,0
2025-06-19 10:04:50.702 UTC,Brake pedal released,0
2025-06-19 10:04:50.802 UTC,Brake pedal released,0
2025-06-19 10:04:50.902 UTC,Brake pedal released,0
2025-06-19 10:04:51.002 UTC,Brake pedal released,0
2025-06-19 10:04:51.102 UTC,Brake pedal released,0
2025-06-19 10:04:51.202 UTC,Brake pedal released,0
2025-06-19 10:04:51.302 UTC,Brake pedal released,0
2025-06-19 10:04:51.402 UTC,Brake pedal released,0
2025-06-19 10:04:51.502 UTC,Brake pedal released,0
2025-06-19 10:04:51.602 UTC,Brake pedal released,0
2025-06-19 10:04:51.702 UTC,Brake pedal released,0
2025-06-19 10:04:51.802 UTC,Brake pedal released,0
2025-06-19 10:04:51.902 UTC,Brake pedal released,0
2025-06-19 10:04:52.002 UTC,Brake pedal released,0
2025-06-19 10:04:52.102 UTC,Brake pedal released,0
2025-06-19 10:04:52.202 UTC,Brake pedal released,0
2025-06-19 10:04:52.302 UTC,Brake pedal released,0
2025-06-19 10:04:52.402 UTC,Brake pedal released,0
2025-06-19 10:04:52.502 UTC,Brake pedal released,0
2025-06-19 10:04:52.602 UTC,Brake pedal released,0
2025-06-19 10:04:52.702 UTC,Brake pedal released,0
2025-06-19 10:04:52.802 UTC,Brake pedal released,0
2025-06-19 10:04:52.902 UTC,Brake pedal released,0
2025-06-19 10:04:53.004 UTC,Brake pedal released,0
2025-06-19 10:04:53.102 UTC,Brake pedal released,0
2025-06-19 10:04:53.202 UTC,Brake pedal released,0
2025-06-19 10:04:53.302 UTC,Brake pedal released,0
2025-06-19 10:04:53.402 UTC,Brake pedal released,0
2025-06-19 10:04:53.502 UTC,Brake pedal released,0
2025-06-19 10:04:53.602 UTC,Brake pedal released,0
2025-06-19 10:04:53.702 UTC,Brake pedal released,0
2025-06-19 10:04:53.802 UTC,Brake pedal released,0
2025-06-19 10:04:53.902 UTC,Brake pedal released,0
2025-06-19 10:04:54.002 UTC,Brake pedal released,0
2025-06-19 10:04:54.102 UTC,Brake pedal released,0
